date,route,city,price,prev_price,delta,delta_pct,window_n,low,high,pct_rank,flag
2026-06-16,BKK-HAN,Hanoi,4753,4823,-70,-1.5,6,4753,4865,0.0,
2026-06-16,BKK-HKT,Phuket,906,906,0,0.0,6,906,910,0.0,
2026-06-16,BKK-HND,Tokyo (Haneda),12291,12780,-489,-3.8,6,12291,12922,0.0,
2026-06-16,BKK-KBV,Krabi,1732,970,762,78.6,6,970,1819,40.0,
2026-06-16,BKK-KIX,Osaka,11022,10742,280,2.6,6,10742,11022,100.0,
2026-06-16,BKK-NRT,Tokyo (Narita),10281,10281,0,0.0,6,8767,10281,20.0,
2026-06-16,BKK-PEK,Beijing,9169,8761,408,4.7,6,8761,9169,100.0,
2026-06-16,BKK-PVG,Shanghai,7594,7586,8,0.1,6,7123,7669,80.0,
2026-06-16,BKK-SGN,Ho Chi Minh City,5027,5027,0,0.0,6,5027,5363,0.0,
2026-06-17,BKK-CAN,Guangzhou,7060,6573,487,7.4,7,6378,7060,100.0,high in 7
2026-06-17,BKK-CEI,Chiang Rai,2356,2521,-165,-6.5,7,2356,2563,0.0,low in 7
2026-06-17,BKK-CNX,Chiang Mai,2152,2152,0,0.0,7,2152,2553,0.0,low in 7
2026-06-17,BKK-DAD,Da Nang,4421,4400,21,0.5,7,4074,4421,100.0,high in 7
2026-06-17,BKK-HAN,Hanoi,4691,4753,-62,-1.3,7,4691,4865,0.0,low in 7
2026-06-17,BKK-HKT,Phuket,906,906,0,0.0,7,906,910,0.0,low in 7
2026-06-17,BKK-HND,Tokyo (Haneda),12295,12291,4,0.0,7,12291,12922,16.7,
2026-06-17,BKK-KBV,Krabi,1423,1732,-309,-17.8,7,970,1819,16.7,
2026-06-17,BKK-KIX,Osaka,11022,11022,0,0.0,7,10742,11022,83.3,high in 7
2026-06-17,BKK-NRT,Tokyo (Narita),11254,10281,973,9.5,7,8767,11254,100.0,high in 7
2026-06-17,BKK-PEK,Beijing,9002,9169,-167,-1.8,7,8761,9169,83.3,
2026-06-17,BKK-PVG,Shanghai,7489,7594,-105,-1.4,7,7123,7669,50.0,
2026-06-17,BKK-SGN,Ho Chi Minh City,5027,5027,0,0.0,7,5027,5363,0.0,low in 7
2026-06-19,BKK-CAN,Guangzhou,6354,7060,-706,-10.0,8,6354,7060,0.0,low in 8
2026-06-19,BKK-CEI,Chiang Rai,2365,2356,9,0.4,8,2356,2563,14.3,
2026-06-19,BKK-CNX,Chiang Mai,2251,2152,99,4.6,8,2152,2553,85.7,
2026-06-19,BKK-DAD,Da Nang,4437,4421,16,0.4,8,4074,4437,100.0,high in 8
2026-06-19,BKK-HAN,Hanoi,4754,4691,63,1.3,8,4691,4865,28.6,
2026-06-19,BKK-HKT,Phuket,1262,906,356,39.3,8,906,1262,100.0,high in 8
2026-06-19,BKK-HND,Tokyo (Haneda),11899,12295,-396,-3.2,8,11899,12922,0.0,low in 8
2026-06-19,BKK-KBV,Krabi,1428,1423,5,0.4,8,970,1819,28.6,
2026-06-19,BKK-KIX,Osaka,10878,11022,-144,-1.3,8,10742,11022,71.4,
2026-06-19,BKK-NRT,Tokyo (Narita),11254,11254,0,0.0,8,8767,11254,85.7,high in 8
2026-06-19,BKK-PEK,Beijing,9169,9002,167,1.9,8,8761,9169,85.7,high in 8
2026-06-19,BKK-PVG,Shanghai,6788,7489,-701,-9.4,8,6788,7669,0.0,low in 8
2026-06-19,BKK-SGN,Ho Chi Minh City,5015,5027,-12,-0.2,8,5015,5363,0.0,low in 8
2026-06-21,BKK-CAN,Guangzhou,6354,6354,0,0.0,9,6354,7060,0.0,low in 9
2026-06-21,BKK-CEI,Chiang Rai,2672,2365,307,13.0,9,2356,2672,100.0,high in 9
2026-06-21,BKK-CNX,Chiang Mai,2251,2251,0,0.0,9,2152,2553,75.0,
